USDCAD Curncy,,,S&P 500 Total Return Index,,,S&P/TSX Composite Total Return Index,,,USGG2YR Index,,,USGG12M Index,,,GCAN2YR Index,,,GCAN12M Index,,,CL1 Comdty,,,Spread of Canadian and US 2 Year Rates,,,Spread of Canadian and US 1 Year Rates,1.2659,,XAU Curncy,,,HG1 Comdty,,,US0003M Index,,,GCAN3M Index,,,DXY Curncy,,,DXY Curncy,,,EURUSD Curncy,,,USDJPY Curncy,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
12/31/2008,1.22,,12/31/2008,"1,452.9760",,12/31/2008,"22,967.9800",,12/31/2008,0.7643,,12/31/2008,0.3405,,12/31/2008,1.0950,,12/31/2008,0.8950,,12/31/2008,44.6000,,12/31/2008,-0.3307,,12/31/2008,-0.5545,,12/31/2008,882.05,,12/31/2008,141,,12/31/2008,1.425,,12/31/2008,0.884,,12/31/2008,81.308,,12/31/2008,81.308,,12/31/2008,1.3971,,12/31/2008,90.64
1/1/2009,1.22,,1/1/2009,"1,452.9760",,1/1/2009,"22,967.9800",,1/1/2009,0.7638,,1/1/2009,0.3405,,1/1/2009,1.0930,,1/1/2009,0.9170,,1/1/2009,44.6000,,1/1/2009,-0.3292,,1/1/2009,-0.5765,,1/1/2009,881.45,,1/2/2009,146.1,,1/2/2009,1.4125,,1/1/2009,0.92,,1/2/2009,81.839,,1/2/2009,81.839,,1/1/2009,1/1/1900,,1/1/2009,90.75
1/2/2009,1.21,,1/2/2009,"1,499.1660",,1/2/2009,"23,622.2800",,1/2/2009,0.8194,,1/2/2009,0.3741,,1/2/2009,1.1550,,1/2/2009,0.9090,,1/2/2009,46.3400,,1/2/2009,-0.3356,,1/2/2009,-0.5349,,1/2/2009,875.4,,1/5/2009,145.9,,1/5/2009,1.42125,,1/2/2009,0.876,,1/5/2009,82.637,,1/5/2009,82.637,,1/2/2009,1/1/1900,,1/2/2009,91.84
1/5/2009,1.19,,1/5/2009,"1,492.2070",,1/5/2009,"23,753.8000",,1/5/2009,0.7636,,1/5/2009,0.4067,,1/5/2009,1.1590,,1/5/2009,0.9130,,1/5/2009,48.8100,,1/5/2009,-0.3954,,1/5/2009,-0.5063,,1/5/2009,859.48,,1/6/2009,158.3,,1/6/2009,1.41125,,1/5/2009,0.895,,1/6/2009,82.85,,1/6/2009,82.85,,1/5/2009,1/1/1900,,1/5/2009,93.44
1/6/2009,1.18,,1/6/2009,"1,503.8660",,1/6/2009,"24,231.1000",,1/6/2009,0.7635,,1/6/2009,0.4118,,1/6/2009,1.1530,,1/6/2009,1.0040,,1/6/2009,48.5800,,1/6/2009,-0.3895,,1/6/2009,-0.5922,,1/6/2009,863.9,,1/7/2009,151.15,,1/7/2009,1.3975,,1/6/2009,0.923,,1/7/2009,82.275,,1/7/2009,82.275,,1/6/2009,1/1/1900,,1/6/2009,93.65
1/7/2009,1.19,,1/7/2009,"1,459.5780",,1/7/2009,"23,334.5200",,1/7/2009,0.8111,,1/7/2009,0.4047,,1/7/2009,1.1470,,1/7/2009,0.9710,,1/7/2009,42.6300,,1/7/2009,-0.3359,,1/7/2009,-0.5663,,1/7/2009,842.98,,1/8/2009,147.9,,1/8/2009,1.35375,,1/7/2009,0.929,,1/8/2009,81.536,,1/8/2009,81.536,,1/7/2009,1/1/1900,,1/7/2009,92.65
1/8/2009,1.18,,1/8/2009,"1,464.6010",,1/8/2009,"23,591.0100",,1/8/2009,0.8270,,1/8/2009,0.4169,,1/8/2009,1.1490,,1/8/2009,0.9020,,1/8/2009,41.7000,,1/8/2009,-0.3220,,1/8/2009,-0.4851,,1/8/2009,857.4,,1/9/2009,155.95,,1/9/2009,1.26,,1/8/2009,0.855,,1/9/2009,82.663,,1/9/2009,82.663,,1/8/2009,1/1/1900,,1/8/2009,91.21
1/9/2009,1.19,,1/9/2009,"1,433.4120",,1/9/2009,"23,242.0800",,1/9/2009,0.7467,,1/9/2009,0.4016,,1/9/2009,1.1000,,1/9/2009,0.8460,,1/9/2009,40.8300,,1/9/2009,-0.3533,,1/9/2009,-0.4444,,1/9/2009,854.2,,1/12/2009,148.85,,1/12/2009,1.16,,1/9/2009,0.843,,1/12/2009,83.019,,1/12/2009,83.019,,1/9/2009,1/1/1900,,1/9/2009,90.4
1/12/2009,1.22,,1/12/2009,"1,401.0690",,1/12/2009,"22,495.4600",,1/12/2009,0.7385,,1/12/2009,0.3965,,1/12/2009,1.0370,,1/12/2009,0.8410,,1/12/2009,37.5900,,1/12/2009,-0.2985,,1/12/2009,-0.4445,,1/12/2009,821,,1/13/2009,154.7,,1/13/2009,1.09438,,1/12/2009,0.818,,1/13/2009,84.265,,1/13/2009,84.265,,1/12/2009,1/1/1900,,1/12/2009,89.22
1/13/2009,1.22,,1/13/2009,"1,403.6270",,1/13/2009,"22,927.2100",,1/13/2009,0.7383,,1/13/2009,0.3894,,1/13/2009,1.0260,,1/13/2009,0.8440,,1/13/2009,37.7800,,1/13/2009,-0.2877,,1/13/2009,-0.4546,,1/13/2009,822,,1/14/2009,148.75,,1/14/2009,1.0825,,1/13/2009,0.801,,1/14/2009,84.419,,1/14/2009,84.419,,1/13/2009,1/1/1900,,1/13/2009,89.38
1/14/2009,1.25,,1/14/2009,"1,356.7890",,1/14/2009,"22,229.1800",,1/14/2009,0.7060,,1/14/2009,0.4119,,1/14/2009,0.9420,,1/14/2009,0.7810,,1/14/2009,37.2800,,1/14/2009,-0.2360,,1/14/2009,-0.3691,,1/14/2009,811.7,,1/15/2009,145.35,,1/15/2009,1.08563,,1/14/2009,0.739,,1/15/2009,84.44,,1/15/2009,84.44,,1/14/2009,1/1/1900,,1/14/2009,89.05
