,USDCAD Curncy,S&P 500 Total Return Index,S&P/TSX Composite Total Return Index,USGG2YR Index,USGG12M Index,GCAN2YR Index,GCAN12M Index,CL1 Comdty,XAU Curncy,HG1 Comdty,US0003M Index,GCAN3M Index,DXY Curncy,USDJPY Curncy
2017-01-27,1.3153,4389.853,50519.56,1.2182,0.785,0.806,0.61,53.17,1191.2,268.95,1.039,0.452,100.53,115.1
2017-01-30,1.3117,4363.67,49982.77,1.2122,0.7747,0.795,0.61,52.63,1195.7,265.5,1.034,0.455,100.43,113.77
2017-01-31,1.303,4359.815,49920.59,1.2044,0.7593,0.771,0.6,52.81,1210.72,272.75,1.03456,0.464,99.512,112.8
2017-02-01,1.3049,4362.105,49973.93,1.2125,0.8212,0.776,0.6,53.88,1209.84,271.15,1.03456,0.465,99.641,113.25
2017-02-02,1.3027,4364.855,49964.34,1.2046,0.8109,0.772,0.595,53.54,1215.96,268.55,1.03372,0.462,99.79,112.8
2017-02-03,1.3023,4396.949,50215.07,1.1969,0.8006,0.77,0.595,53.83,1220.3,261.6,1.034,0.463,99.868,112.61
2017-02-06,1.3084,4387.671,50151.97,1.149,0.7801,0.736,0.585,53.01,1235.53,265.15,1.03844,0.466,99.907,111.74
2017-02-07,1.3185,4388.87,50287.79,1.165,0.7801,0.74,0.585,52.17,1233.85,263.2,1.03817,0.472,100.26,112.39
2017-02-08,1.3144,4393.313,50467.6,1.141,0.7749,0.722,0.59,52.34,1241.53,266.65,1.03372,0.465,100.28,111.93
2017-02-09,1.3145,4419.404,50673.67,1.1772,0.7852,0.751,0.6,53,1228.36,265.35,1.03372,0.462,100.65,113.25
2017-02-10,1.3083,4435.422,51036.8,1.1895,0.7903,0.768,0.595,53.86,1233.62,276.8,1.03622,0.467,100.8,113.22
2017-02-13,1.3071,4459.828,51141.58,1.2017,0.8005,0.787,0.601,52.93,1225.26,278.3,1.039,0.463,100.96,113.74
2017-02-14,1.3076,4478.982,51241.32,1.2343,0.821,0.8,0.6,53.2,1228.13,273.7,1.03733,0.464,101.25,114.26
2017-02-15,1.308,4501.989,51433.5,1.2466,0.8261,0.816,0.6,53.11,1233.7,274.05,1.04178,0.481,101.18,114.16
2017-02-16,1.3071,4498.559,51495.89,1.2021,0.7954,0.799,0.59,53.36,1239.04,271.85,1.0565,0.478,100.44,113.24
2017-02-17,1.3096,4506.203,51422.98,1.1882,0.7953,0.776,0.59,53.4,1234.6,270.7,1.05233,0.479,100.95,112.84
