,USDCAD Curncy,S&P 500 Total Return Index,S&P/TSX Composite Total Return Index,USGG2YR Index,USGG12M Index,GCAN2YR Index,GCAN12M Index,CL1 Comdty,XAU Curncy,HG1 Comdty,US0003M Index,GCAN3M Index,DXY Curncy,USDJPY Curncy
2008-12-31,1.2188,1452.976,22967.98,0.7643,0.3405,1.095,0.895,44.6,882.05,141,1.425,0.884,81.308,90.64
2009-01-01,1.2201,1452.976,22967.98,0.7638,0.3405,1.093,0.917,44.6,881.45,#N/A,#N/A,0.92,#N/A,90.75
2009-01-02,1.205,1499.166,23622.28,0.8194,0.3741,1.155,0.909,46.34,875.4,146.1,1.4125,0.876,81.839,91.84
2009-01-05,1.189,1492.207,23753.8,0.7636,0.4067,1.159,0.913,48.81,859.48,145.9,1.42125,0.895,82.637,93.44
2009-01-06,1.1842,1503.866,24231.1,0.7635,0.4118,1.153,1.004,48.58,863.9,158.3,1.41125,0.923,82.85,93.65
2009-01-07,1.194,1459.578,23334.52,0.8111,0.4047,1.147,0.971,42.63,842.98,151.15,1.3975,0.929,82.275,92.65
2009-01-08,1.1797,1464.601,23591.01,0.827,0.4169,1.149,0.902,41.7,857.4,147.9,1.35375,0.855,81.536,91.21
2009-01-09,1.1853,1433.412,23242.08,0.7467,0.4016,1.1,0.846,40.83,854.2,155.95,1.26,0.843,82.663,90.4
2009-01-12,1.2184,1401.069,22495.46,0.7385,0.3965,1.037,0.841,37.59,821,148.85,1.16,0.818,83.019,89.22
2009-01-13,1.2243,1403.627,22927.21,0.7383,0.3894,1.026,0.844,37.78,822,154.7,1.09438,0.801,84.265,89.38
2009-01-14,1.2491,1356.789,22229.18,0.706,0.4119,0.942,0.781,37.28,811.7,148.75,1.0825,0.739,84.419,89.05
2009-01-15,1.2527,1358.64,22719.1,0.7138,0.4068,0.964,0.763,35.4,817.8,145.35,1.08563,0.729,84.44,89.84
2009-01-16,1.2431,1368.919,22828.56,0.721,0.417,0.966,0.788,36.51,843.15,152.75,1.1425,0.723,84.212,90.72
2009-01-19,1.2539,1368.919,22626.6,0.7207,0.4476,1,0.799,36.51,835.9,#N/A,1.1325,0.747,84.722,90.65
